account,amount
0x6DF4c584482BF583A252E22b521C7743aa2E6F23,2600
0xB47146aA0772465c301d2f829dE8c8Ca2DB0e237,2600
0xeA77498D1E86e2930AF147849b1835705F68B7dF,2500
0x07888E3b3014E364A6738150BC6072e88113df6D,2500
0x4507F9a376B424222526a304cB2de5576CDb6B0a,2500
0x1d18c128A0DE215F95F363EC3204f2B445e4A134,2500
0x612b114B3FE7224537Ab929cE1C1E91EF1735a15,2400
0x744a0a58d862a6F7A81d59600207a51D3d40ADa2,2400
0x6f4135ecf493D9eF1459BF345130Bc861d961E43,2400
0xD798B2317ca4EA774Eaf2fd3a81f7Ccc26DB5090,2300
0x83C872817d95fD64ff5C630A8657A84C83D446d6,2300
0x0DA7a8Ec8d7f98f1C0BaBE373A7450aC6D4fA0f9,2300
0x6D12E3f729afcBc6d9E61780CEeE5BD12027c136,2300
0x942BFd624cbFf9f91841E81dcF387353B70De907,2300
0x217fFe36Ac5C0d33c15d1bdBF88d47E7fd1E1D95,2300
0x6C7C73Aef66836A1Eeb524376E13E71cFb52D3EC,2265
0x38858AB2EC89a4F64757bCBE5d4D963a8ac72252,2200
0xa64a958067808e8DCECa308Ddfb4Ae7F4287c2De,2200
0x211E2850B63d1e8c00E8FD5aF969D00cf0247455,2200
0xb8e2b6b4e418fD89960322Fa678E848A5940D671,2200
0x20669775D663d9a461ef2B2EfCa8FE43954F4B13,2172.6
0x4f1677a3F0AcE6992d72305d52BC5652D7673d0F,2100
0x877D45FF3Ff87C3373A5F391cf78AC0A1b224280,2100
0x73b92634910d45412cdecf7a8d9baf83a17007b4,2100
0x6287428f0B97B0b7966706014B8Ff1F34a93fAE9,2000
0x73d5f95B8f6FC4178aA934c44D7Acc7dC2a6DAf8,2000
0xeAdb96718bb3b0436D2873AC010802EbC6FEE80F,2000
0x6266dE46b0AE428e8774Bc6911D84d21e32d9cC2,2000
0x7844E505327Cdf2B7D94A7946d2Aa1EDb52E3030,2000
0x97D455835a3Ae0F0616f280286439e248f8cB030,2000
0x509B18bBe078B48de512e7a258dC5682aeB27802,2000
0xF294e71eB100D93e135b0a253170a64b88E7bf9f,2000
0x63AaF54107d8375E41f410b733D6EA3a23A8FE10,2000
0xE6bFa9AA5C524680Ba9367702eA19490E79E3B2B,2000
0xE968B97044b832d9577C79F10555396581F2E074,1900
0xdD8DecE22CE740d5904f841efd665b07965b15b1,1900
0x4957c0b150bDe46891f0738df6332C5F2377D4b9,1800
0x16A67659dA81ef3D7F9e4920177e1c17A11Fd669,1800
0xD3C2798da0bF40D8cb08ED90Ec6De165F4227CAF,1800
0x31e292ba33e01C3a9d3467890E2E5C99e1d6562B,1800
0x79f413b36a93468EA7FDA5d5bE2EcB8c4dd3Cc94,1700
0x495565691C674B40Dd05a1b4b796AbCCD81BAD14,1500
0x0d64ec45027E2FbfDA711AFDdfeB889947FF3Eb0,1500
0x4a0E5c833CD6c38EAC36ea5D83b9D38075aE64FD,1500
0xFFA7F9298354B4B80E848E9Ec83d7989fb9E9926,1500
0xF11c388aA997969d2D7cd7139cdB416AbA598717,1500
0x66Dd26de470033FfA3114ac07F8389BB4Cf70902,1500
0xD287b3f7f423d4fd7f3c000Cf89F8f78fcD2a8B3,1500
0xcEA9F52fb205846b0C2956Ab347E078b564277F0,1500
0xd847ed72649a39aad263ac7a1dcae6eeb9d51e16,1476
0xAD1825F59fB849bfB2d77b0636d8281149d6Bd70,1400
0x6170906ad2c2372837d1eAaF473566Cb23293B0B,1400
0x063eE6EeDe7877C5CFf944564920E6eaA3841124,1300
0x3320f8871A8F0a3169D74380B57b26BBAa3219c4,1300
0xFD1e90a3A82E2ad060ba4B16fD2eEB354e6D7Cf9,1300
0x7fFCa0796A835D2dE97F5F038D8c94de0249624D,1300
0x9C5Ab52309c486Ff93B20772Ec4B113DA3B42017,1300
0xa8273c123Fcf8728b95Ab3B4b4222c426C6c1fa5,1200
0xC7e144f9728a478bA9e27ca28b36f4eED474F27D,1200
0x16a2da3143A015D4a77743531b3b7d9e1E29a271,1200
0x1e920DE22aB994204A7F357F1ce4046544984de8,1200
0x7FF3f0e43E887FC2b6b45B572a68693AA1C8d1ca,1100
0xc7F8A9FC8Bc89f53dD4fff7A8c66DE91Cb533ec7,1100
0xC2C3aE45b1Cfd7CE19BBf3d0AB09411BE0F99451,1100
0x8422906FbFfAd2A861F9439e267075a2a15dD7F9,1050
0x5b08CE67737657FA9ec9e8DeCE06eE23613D4067,1050
0x8C7ff116F6d10F1D866E816ea61E177590903622,1000
0xc3Bc9F2e75eCF96b80eadc3f1F27cD7adFf30D05,1000
0x45c4224b8CdC16c2fAf83AfD541AfF840dD3f571,1000
0x0b67E4577e5Fa87901483aFbF5BA11C2ebF1297A,1000
0xD6823f807C45eFDC56c9aE8Db0226CA10af6E8AB,1000
0x6F39186E9b3Bd6aEAa08Ebe01ABc01FF17968f5A,1000
0x8a08e3ffFE3CF2E626cAad8E353017Bc189C9356,1000
0x8fDD326b4c975FFC43dBe3bE876beb5A07691b54,1000
0x7c51D44775ba411c2D64C4AafD7cc80177CA0b33,1000
0x26f3e3cceeebae31d29d9ae923d3493396015d51,1000
0x38F5dF039b0F0fAC72523eb0DEA196C0e6811d4A,1000
0x0C35994BD8f5b6C3328D0ca28ef21e0ea9164533,1000
0xADc34620878d301f98C3Ff51C8Cd31ee9AC6acA0,800
0xb97542278DA7503597382329F9745824EbC5000D,800
0x0a7E0f40B14Db5D166Ca036F930CC2d347B1EE8B,800
0x9eC4EF0a80776C84d9D8C0cE639b1CbDF8D2F94F,800
0x84d88901222f279CC0FA2A1743FA56a995CF1aB2,800
0x15c304129C4180B31b03E3609f7A579eaad75EF0,800
0xbC6406A99CDAB8902C5f1B74424a7f2d80091cB5,700
0xA10D11F9957890FFCf1d2451ff4BcfD249C08B51,700
0x4C7Be8167c33CD4a1FC89E1aFAFb2724EB7d42f9,600
0xC381Bb25481B9f0b320f13F0bE4305E19f7f1F62,600
0x3F95f88De6209f28eb153dD532392391254E918C,600
0xA81e1E854406E793a6774B1B2296B10966b3303a,600
0xBa0FE7F5646D203D11f0145B9B6dd00685a04eec,600
0xF05533f05cf3f90DEA723415BCb7f1Bd85f73018,600
0xb2c770A16c209c5dc20886c56eE5C3777F8a4C51,550
0xa78841435eEDbBa5526987F6BD7c73639ee241B7,550
0x0Fe9BD2dbB0e2b7d23c71c0b3B8421003792ff8b,500
0xa6C47e9085Da696A64E6E29e4B4217906Bd7bcA6,500
0x36B2f22d8328AeA8291D72917324EbcDF2CF489c,500
0x9C80cb4b2c8311C3070f62C9e9B4f40C43291E8d,500
0x2F48A602193329c2f428eB1F620815de1c75aF9b,500
0xBb3B219B4A9B482184AFaa046D8012faDd1A278E,500
0x00ae5c4ac822d92eb09c2d546a54dc1807149dd7,500
0x7FD6F1D62296654CC0C1B0C6dbCCa54678da4DE0,500
0x77eB96241c10DB5F48222231817e79C1aB0E9be4,500
0x169224288cF04220B4be45A6EC4D1C2d789F502A,500
0x95c42a1fceBAB0A51D75ee779D9D65F2d6C114FB,500
